shap_avg_er_wait_minutes,shap_hospital_overall_rating,shap_MORT_30_AMI,shap_MORT_30_HF,shap_MORT_30_PN,shap_READM_30_AMI,shap_READM_30_HF,shap_OP_18b,shap_OP_22,shap_COMP_HIP_KNEE,shap_median_income,shap_poverty_rate,shap_unemployment_rate,shap_pct_uninsured,shap_pct_college_educated,shap_bed_count,shap_pct_metro,shap_pct_rural,shap_avg_rucc_score,shap_deprivation_index,shap_hospital_type,shap_hospital_ownership,shap_emergency_services,facility_id,predicted_satisfaction,actual_satisfaction,top_negative_feature,top_positive_feature
-0.20711035,0.14776503,0.17142934,0.09483846,0.07411668,0.08574768,0.06880089,0.025276078,-0.10741691,-0.19489804,0.35557914,0.41747108,0.075414754,-0.020712193,-0.038687818,1.3729542,0.23368087,0.03651069,0.06642824,-0.03501993,0.37482473,-0.280997,-0.034516867,51,75.66,72.88,hospital_ownership,bed_count
0.11190962,-2.952779,0.13607432,-0.28914294,0.09734917,0.05413721,-0.276463,0.082857005,0.21100721,-0.079983585,0.38402158,0.380184,-0.025617886,-0.02294702,-0.075630836,-0.83622986,0.20344457,-0.030736744,0.094837904,-0.006902142,-0.027070487,0.0077646202,-0.026020018,52,70.09,67.62,hospital_overall_rating,median_income
-0.10450162,-2.196199,-0.17234243,-0.04050312,0.22794677,-0.13679634,0.41354495,-0.12756762,-0.02869667,0.33801407,0.45108277,0.35623643,0.07009426,-0.010037731,0.12357756,-3.1868474,0.25012606,0.03265237,0.11145399,-0.046112634,-0.07643418,0.2633729,-0.013923251,53,69.47,69.25,bed_count,median_income
-0.3749128,0.15275785,0.06880776,0.23073651,-0.42076856,0.031075625,-0.015141278,-0.24933295,-0.24420151,-0.1201219,0.38250718,0.28453258,0.016254472,-0.028649284,0.007298275,-2.3457232,0.27446038,0.010187239,0.12572575,-0.042088125,-0.07288327,-0.07372509,-0.03466916,54,70.54,70.88,bed_count,median_income
-0.42178574,-2.4704185,0.09720137,-0.33739662,-0.8524292,0.010260291,-0.14335263,-0.2495074,-0.19732025,-0.09574286,0.4513417,0.17968617,0.106942266,-0.009109298,0.059978794,-2.5977159,0.4097813,0.03304404,0.19030583,-0.04716299,-0.020556865,-0.7695347,-0.026128983,55,66.27,66.38,bed_count,median_income
0.4427914,-3.1756763,0.16976118,0.54595107,0.5009128,0.08934979,0.008225156,0.2840144,-0.24272847,-0.06004391,0.20898335,0.34872022,-0.038852215,-0.01676667,0.0043090875,-0.34351867,0.12738562,0.019492112,0.028679678,-0.06917841,-0.012032312,0.38303742,-0.021452768,56,72.16,72.0,hospital_overall_rating,MORT_30_HF
0.4396976,0.3854217,0.20300892,0.4740541,-0.022178635,0.09885951,-0.13743234,0.34675142,-0.23872578,-0.06712119,0.7389432,0.72883564,0.02790604,-0.04477471,-0.014893327,1.9526256,0.25412956,-0.0045052897,0.07082367,-0.014678377,0.20109917,-0.42186332,-0.02884694,57,77.9,78.75,hospital_ownership,bed_count
0.39463446,1.0314727,0.12363285,0.19450486,-0.4061384,0.051108018,-0.07917414,0.20316887,-0.12561172,-0.073394276,0.30356774,0.24881616,-0.10899913,-0.048985325,-0.15934479,0.24211404,0.12350136,-0.008520378,0.062293388,-0.06093125,-0.14429784,-0.49011847,-0.031184819,58,74.22,74.25,hospital_ownership,hospital_overall_rating
0.871913,0.17148277,0.20998219,0.16763778,0.2219937,0.08771161,0.14605261,0.3359594,1.4963795,-0.18371041,0.6886981,0.5214996,0.1010786,0.013175567,0.04674661,2.4121976,0.3421003,0.020020695,0.070966855,-0.038753938,0.7244468,-0.19410424,-0.026325013,59,81.18,85.75,hospital_ownership,bed_count
-0.1597739,0.1550752,0.15939388,0.39950955,0.34575,0.1022829,-0.048788294,-0.23272908,-0.10907457,-0.08518075,0.5983823,0.49422705,0.1199271,0.024526494,0.12498873,0.3095583,0.29807726,0.063454375,0.12641849,0.060670253,0.1093217,0.20241281,-0.016101219,60,76.02,82.0,OP_18b,median_income
-0.07907796,0.04308498,0.106501095,0.105663,-1.0303333,0.040591493,-0.013121056,-0.18816951,-0.07568433,-0.16542192,0.29802755,0.17255662,0.041771997,-0.087201156,-0.1408856,1.4389126,0.21796322,0.0894702,0.04202604,-0.11241943,0.16261972,0.22922891,-0.033946194,61,74.04,73.62,MORT_30_PN,bed_count
-0.2555308,-0.005703587,-0.7131413,0.5079635,-0.027931707,-1.1368232,0.14841773,-0.2185802,-0.023535274,0.43489468,0.17163154,0.15623802,0.09405517,-0.10418026,-0.06885663,-2.4419708,0.30177614,0.049923908,0.11120309,-0.09021213,-0.22012359,-0.5272499,-0.024711272,62,69.09,68.12,bed_count,MORT_30_HF
-0.3362784,0.029177606,0.14838935,0.111300014,-0.03578782,0.06647255,0.061571736,0.009935449,-0.30273825,-0.22483057,0.3729039,0.27376735,-0.036879756,-0.08701051,-0.11217892,1.9660583,0.22540022,0.019664649,0.057760417,0.014584332,0.47083807,-0.38689014,-0.04352105,63,75.24,72.88,hospital_ownership,bed_count
-0.03625796,-0.019979335,-0.28675893,0.018703144,0.029324444,-0.26624113,-0.13125911,-0.13348536,-0.21696568,-0.10144178,0.16936141,0.20372094,0.052559793,-0.020935329,-0.07900453,-2.9502895,0.34099588,0.010673246,0.12009589,-0.10422266,-0.04680493,-0.5704342,-0.032821834,64,68.92,65.25,bed_count,pct_metro
-0.39335105,0.1704552,-0.22286467,0.36453837,0.3078544,0.050416626,-0.10725695,-0.1446862,-0.19455957,0.34377882,0.22557615,0.30297142,0.04497243,-0.050486382,-0.052364934,-3.0646133,0.3552186,0.05476092,0.07969324,-0.14872208,-0.15119092,-0.52175605,-0.035284724,65,70.19,67.75,bed_count,MORT_30_HF
0.0577304,0.093322545,0.17711577,-0.34233963,-0.036751445,0.07047208,0.0673972,0.20759548,-0.28278512,-0.09938712,0.53239834,0.33852446,0.027362697,-0.0787359,0.018393764,2.0575619,0.31198093,0.052596904,0.06846676,-0.01787347,0.31366003,-0.44402927,-0.03035986,66,76.04,76.0,hospital_ownership,bed_count
-0.44388774,1.0216074,-0.39657462,-0.4059324,0.084616475,-0.014229723,0.41215178,-0.318225,0.13285656,-0.09475884,0.2833008,0.37346303,0.11409882,0.032124512,0.056520756,-1.8511823,0.3344063,0.01017473,0.12554239,-0.020262992,-0.100256525,-0.045594294,-0.00575309,67,72.26,72.75,bed_count,hospital_overall_rating
0.25168097,1.2096145,-0.18585157,-0.32883105,-0.0860141,-0.10919098,-0.14534114,0.2892978,-0.046727795,0.29289204,0.36173993,0.21662676,0.061692122,0.04120736,-0.109497584,-1.870951,0.15912184,0.02126605,0.06492347,-0.08641638,2.7611017,-0.024679404,-0.004951058,68,75.71,76.12,bed_count,hospital_type
0.58221585,0.23341031,0.20268309,0.19589452,0.16505933,0.10441089,0.10925388,0.31565565,-0.12004477,-0.11110989,0.5200534,0.331441,0.056791995,0.014077772,-0.026604341,0.39621475,0.35410458,0.017484548,0.070819624,-0.03016598,0.25805032,-0.40642712,-0.021239918,69,76.19,69.25,hospital_ownership,avg_er_wait_minutes
0.41486287,0.3530403,0.1973975,0.29886398,0.08281071,0.08194111,0.11851724,0.27574345,-0.11979676,-0.087396614,0.48752606,0.29638064,0.06442593,-0.024077816,-0.0538787,-2.180158,0.30312115,0.022308236,0.108183,-0.0047740415,0.013125653,-0.5404912,-0.02625475,70,73.06,86.62,bed_count,median_income
0.44976836,0.8779645,0.15896197,0.19003002,0.3651414,0.078682974,0.14756492,0.18026188,-0.11940792,0.22353324,0.27522475,0.31728464,-0.019708598,-0.01721709,-0.11146261,-0.61563915,0.26239848,-0.0019162562,0.049946494,-0.03656017,0.10568581,-0.50077343,-0.027056795,71,75.21,70.5,bed_count,hospital_overall_rating
0.28028348,0.20121732,0.15054701,0.27427727,0.14606859,0.077433676,-0.04750824,0.2606629,0.378235,-0.072989695,0.29551116,0.17611139,-0.041321024,-0.047370214,-0.1404769,-2.0234685,0.2776162,-0.015629353,0.11642065,-0.1172288,-0.18501274,0.112256244,-0.024897272,72,73.0,71.88,bed_count,OP_22
0.30324268,1.012086,0.13221826,0.19711165,0.22119823,0.05992363,0.1775128,0.16954292,-0.09484126,0.54542834,0.54011446,0.4301967,0.0055544437,0.031512003,0.006000813,0.7615724,0.22252868,0.033492498,0.053089555,0.031107757,0.2412408,0.31403813,-0.024860922,73,78.34,81.75,OP_22,hospital_overall_rating
